"line_item_product_code","line_item_line_item_type"
"AWSBackup","Usage"
"ElasticMapReduce","Usage"
"AmazonECS","Usage"
"AmazonVPC","Usage"
"AWSSecurityHub","Usage"
"awskms","Usage"
"AWSGlue","Usage"
"AmazonRDS","RIFee"
"AmazonElastiCache","DiscountedUsage"
"AmazonEC2","DiscountedUsage"
"AmazonElastiCache","Tax"
"awskms","Tax"
"AmazonVPC","Tax"
"AmazonCloudFront","Usage"
"AmazonEC2","RIFee"
"AmazonElastiCache","Usage"
"AWSCloudTrail","Usage"
"ComputeSavingsPlans","SavingsPlanRecurringFee"
"AmazonEKS","Tax"
"AmazonElastiCache","RIFee"
"AWSDataTransfer","Tax"
"AWSSupportBJSBusiness","Usage"
"AmazonES","Tax"
"AWSSupportBJSDeveloper","Usage"
"AmazonECR","Tax"
"3iq00ukl2p6hk970ch0km8jche","Fee"
"AmazonGuardDuty","Usage"
"AmazonECS","SavingsPlanCoveredUsage"
"AWSQueueService","Usage"
"AWSELB","Usage"
"AmazonEFS","Usage"
"AWSLambda","SavingsPlanCoveredUsage"
"AmazonNeptune","Usage"
"AmazonEC2","SavingsPlanNegation"
"AMAZONROUTE53REGIONALCHINA","Usage"
"AmazonCloudWatch","Tax"
"AmazonApiGateway","Tax"
"AWSCloudTrail","Tax"
"AmazonAthena","Tax"
"awswaf","Tax"
"ElasticMapReduce","Tax"
"AWSELB","Tax"
"AmazonSageMaker","Tax"
"AmazonECS","Tax"
"AWSSecurityHub","Tax"
"AWSCostExplorer","Tax"
"AmazonStates","Usage"
"AmazonApiGateway","Usage"
"AmazonDynamoDB","Tax"
"AWSDirectoryService","Tax"
"AWSSupportBJSBusiness","Fee"
"AWSSupportBJSBusiness","Tax"
"AWSGlue","Tax"
"AmazonS3GlacierDeepArchive","Tax"
"AmazonRDS","Credit"
"AmazonS3","Usage"
"AmazonDynamoDB","Usage"
"AWSSecretsManager","Usage"
"AWSLambda","Usage"
"AmazonCloudWatch","Usage"
"AmazonSageMaker","Usage"
"AmazonEC2","SavingsPlanCoveredUsage"
"AmazonEC2","Tax"
"AmazonRDS","Tax"
"AWSLambda","Tax"
"AWSQueueService","Tax"
"AmazonS3","Tax"
"AmazonSNS","Tax"
"AmazonECS","SavingsPlanNegation"
"AWSBackup","Tax"
"AmazonCloudFront","Tax"
"AWSCostExplorer","Usage"
"AmazonNeptune","Tax"
"AWSXRay","Tax"
"AmazonEC2","Credit"
"AmazonECR","Usage"
"AWSDirectoryService","Usage"
"AmazonRDS","Usage"
"AmazonEC2","Usage"
"AmazonSNS","Usage"
"AmazonEKS","Usage"
"AmazonES","Usage"
"AmazonRDS","DiscountedUsage"
"awswaf","Usage"
"AWSLambda","SavingsPlanNegation"
"AWSSupportBJSDeveloper","Tax"
"AWSSecretsManager","Tax"
"ComputeSavingsPlans","Tax"
"AmazonAthena","Usage"
"AmazonGuardDuty","Tax"
"AmazonEFS","Tax"
"AMAZONROUTE53REGIONALCHINA","Tax"
"AWSSupportBJSDeveloper","Fee"
"AWSXRay","Usage"
"3iq00ukl2p6hk970ch0km8jche","Tax"
"ComputeSavingsPlans","Credit"
