"line_item_product_code","line_item_usage_type"
"AMAZONROUTE53REGIONALCHINA","HostedZone"
"AMAZONROUTE53REGIONALCHINA","CNW1-Cidr-Blocks"
"AWSBackup","CNW1-WarmStorage-ByteHrs-EFS"
"AWSCloudTrail","CNN1-FreeEventsRecorded"
"AWSCloudTrail","CNW1-FreeEventsRecorded"
"AWSCloudTrail","CNW1-DataEventsRecorded"
"AWSCostExplorer","CNW1-APIRequest"
"AWSDataTransfer","CNN1-DataTransfer-In-Bytes"
"AWSDataTransfer","CNW1-CNN1-AWS-Out-Bytes"
"AWSDataTransfer","CNN1-DataTransfer-Out-Bytes"
"AWSDataTransfer","CNW1-CNN1-AWS-In-Bytes"
"AWSDataTransfer","CNW1-DataTransfer-In-Bytes"
"AWSDataTransfer","CNW1-CloudFront-Out-Bytes"
"AWSDataTransfer","CNW1-DataTransfer-xAZ-In-Bytes"
"AWSDataTransfer","CNW1-DataTransfer-Regional-Bytes"
"AWSDataTransfer","CNW1-DataTransfer-Out-Bytes"
"AWSDataTransfer","CNW1-CloudFront-In-Bytes"
"AWSDataTransfer","CNN1-CNW1-AWS-Out-Bytes"
"AWSDataTransfer","CNW1-DataTransfer-xAZ-Out-Bytes"
"AWSDirectoryService","CNW1-Std-MicrosoftAD-DC-Usage"
"AWSELB","CNW1-CNN1-AWS-Out-Bytes"
"AWSELB","CNW1-LoadBalancerUsage"
"AWSELB","CNW1-CloudFront-Out-Bytes"
"AWSELB","CNW1-CNN1-AWS-In-Bytes"
"AWSELB","CNW1-LCUUsage"
"AWSELB","CNW1-CloudFront-In-Bytes"
"AWSELB","CNW1-DataTransfer-xAZ-In-Bytes"
"AWSELB","CNW1-DataTransfer-Regional-Bytes"
"AWSELB","CNW1-DataTransfer-In-Bytes"
"AWSELB","CNW1-DataTransfer-Out-Bytes"
"AWSGlue","CNN1-Catalog-Storage"
"AWSGlue","CNW1-ETL-DPU-Hour"
"AWSGlue","CNW1-Catalog-Request"
"AWSGlue","CNW1-Catalog-Storage"
"AWSGlue","CNN1-Catalog-Request"
"AWSLambda","CNW1-DataTransfer-In-Bytes"
"AWSLambda","CNW1-DataTransfer-Out-Bytes"
"AWSLambda","CNW1-DataTransfer-xAZ-Out-Bytes"
"AWSLambda","CNW1-Lambda-Storage-GB-Second"
"AWSLambda","CNW1-Lambda-GB-Second"
"AWSLambda","CNW1-Request"
"AWSLambda","CNW1-CloudFront-Out-Bytes"
"AWSLambda","CNW1-CloudFront-In-Bytes"
"AWSLambda","CNW1-DataTransfer-Regional-Bytes"
"AWSLambda","CNW1-DataTransfer-xAZ-In-Bytes"
"AWSQueueService","CNW1-Requests-Tier1"
"AWSQueueService","CNN1-Requests-Tier1"
"AWSQueueService","CNW1-DataTransfer-Out-Bytes"
"AWSSecretsManager","CNW1-AWSSecretsManagerAPIRequest"
"AWSSecretsManager","CNN1-AWSSecretsManagerAPIRequest"
"AWSSecretsManager","CNW1-AWSSecretsManager-Secrets"
"AWSSecurityHub","CNW1-OtherProduct:PaidFindingsIngestion"
"AWSSecurityHub","CNW1-PaidComplianceCheck"
"AWSSupportBJSBusiness","Dollar"
"AWSSupportBJSBusiness",""
"AWSSupportBJSDeveloper",""
"AWSSupportBJSDeveloper","Dollar"
"AWSXRay","CNW1-XRay-TracesAccessed"
"AmazonApiGateway","CNW1-DataTransfer-Out-Bytes"
"AmazonApiGateway","CNW1-ApiGatewayRequest"
"AmazonApiGateway","CNW1-ApiGatewayHttpRequest"
"AmazonAthena","CNW1-DataScannedInTB"
"AmazonCloudFront","CN-Requests-HTTP-Proxy"
"AmazonCloudFront","CN-Requests-Tier2-HTTPS"
